data_channel,tag_label,timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,shares,abs_title_sentiment_polarity
0,8638,727,8,252,0.635593218,0.999999994,0.741935479,4,3,1,10,4.416666667,10,217,761,508.7777778,0,28000,15040,0,5373.285714,2713.57846,2900,5800,4350,0,0,0,0,1,0,0,0,0.020543133,0.020100976,0.020014412,0.576681732,0.362659748,0.551759834,0.355797101,0.075396825,0.003968254,0.95,0.05,0.446491228,0.05,1,-0.1,-0.1,-0.1,0.4,0.1,0.1,5200,0.1
2,3214,631,8,841,0.466747279,0.999999998,0.636904761,7,0,1,0,4.512485137,9,4,1200,531.4285714,0,690400,310333.3333,0,5943.5125,3136.366458,0,0,0,0,0,1,0,0,0,0,0,0.911037507,0.022223917,0.022239799,0.022223223,0.022275553,0.456257015,0.24700749,0.058263971,0.004756243,0.924528302,0.075471698,0.35230895,0.033333333,1,-0.222916667,-0.4,-0.125,0,0,0.5,3100,0
5,7232,175,11,343,0.530791787,0.999999995,0.698979588,9,5,1,0,4.897959184,10,-1,775,294.1,2400,843300,237000,1344.333333,3756.410993,2622.428966,1200,8000,3225,0,0,0,1,0,0,0,0,0.298838054,0.02007665,0.448278308,0.020000477,0.212806511,0.393223443,0.136172161,0.032069971,0,1,0,0.335497835,0.1,0.5,0,0,0,0.267857143,0.192857143,0.232142857,807,0.192857143
1,3263,684,9,1742,0.437644342,0.999999999,0.688524589,21,12,1,0,4.741676234,9,217,1300,485.2857143,0,80400,28566.66667,0,3815.976,1988.580129,2000,5300,3166.666667,0,0,0,0,0,1,0,1,0.022278626,0.708275194,0.118342179,0.02226054,0.128843461,0.459819909,0.160488107,0.056831228,0.016647532,0.7734375,0.2265625,0.406062792,0.05,1,-0.347413793,-0.666666667,-0.05,0,0,0.5,1500,0
2,4950,213,11,254,0.650793648,0.999999993,0.841726613,2,1,2,0,4.75984252,4,-1,280,107.25,27900,843300,414425,2447.562774,3818.090909,3275.260831,588,588,588,1,0,0,0,0,0,0,0,0.799787171,0.050000567,0.050206819,0.050005035,0.050000408,0.553543771,0.039461279,0.051181102,0.043307087,0.541666667,0.458333333,0.374184149,0.033333333,0.6,-0.325505051,-0.4,-0.1,0.35,-0.3,0.15,930,0.3
1,4855,507,11,354,0.659025786,0.999999996,0.791111108,15,8,1,0,4.768361582,5,4,1100,300.6,1700,843300,224220,1350,3255.089319,2199.329589,723,2500,1383.5,1,0,0,0,0,0,0,0,0.040002494,0.041213084,0.040086531,0.838697626,0.040000265,0.571363636,0.156242424,0.039548023,0.014124294,0.736842105,0.263157895,0.380194805,0.05,1,-0.333333333,-1,-0.1,0,0,0.5,579,0
4,8158,548,10,981,0.505307855,0.999999998,0.705372616,32,19,1,1,4.655453619,10,4,1100,306.5,3500,843300,148140,1244.444444,8900,4035.474408,853,10100,3375.5,0,1,0,0,0,0,0,0,0.25234736,0.020048658,0.020105426,0.122803397,0.584695158,0.420921146,0.073541564,0.034658512,0.016309888,0.68,0.32,0.34293481,0.033333333,1,-0.3234375,-1,-0.05,0.6,-0.05,0.1,2000,0.05
0,8217,437,7,187,0.672514616,0.999999993,0.695652169,18,4,14,0,5.171122995,7,4,684,298.8333333,0,843300,280485.7143,0,8780.675422,5543.34802,1800,1800,1800,1,0,0,0,0,0,0,0,0.028571986,0.028579982,0.028571752,0.885704575,0.028571705,0.41377551,0.15625,0.032085561,0.016042781,0.666666667,0.333333333,0.45,0.2,0.8,-0.170833333,-0.2,-0.125,0.75,0,0.25,5000,0
1,5871,336,14,1043,0.445841392,0.999999999,0.589820358,4,3,7,0,4.722914669,8,-1,884,301,1500,843300,180312.5,1062.5,6425.5,2941.665769,900,1300,1053.666667,0,0,0,1,0,0,0,0,0.176596515,0.398908456,0.372842357,0.026618843,0.025033829,0.396973661,0.113795728,0.036433365,0.021093001,0.633333333,0.366666667,0.42408977,0.033333333,1,-0.23030303,-0.6,-0.025,0,0,0.5,663,0
3,2906,497,5,281,0.639999998,0.999999994,0.734806626,5,2,1,0,4.647686833,6,4,1100,362.2,0,843300,171783.3333,0,7512.141667,3242.989997,2800,13100,7950,0,0,0,1,0,0,0,0,0.312585663,0.20049213,0.033478145,0.420108934,0.033335127,0.401785714,0.125595238,0.028469751,0.010676157,0.727272727,0.272727273,0.36875,0.1,0.8,-0.280555556,-0.5,-0.166666667,0,0,0.5,2400,0
5,5073,176,6,29,0.681818151,0.99999995,0.649999968,7,0,7,0,4.620689655,5,-1,554,216.4,1500,843300,211820,1064.166667,3528.624796,2154.760929,0,0,0,0,0,1,0,0,0,0,0,0.040000475,0.040000073,0.839997279,0.040000035,0.040002137,0.1,-0.1,0,0.034482759,0,1,0,0,0,-0.1,-0.1,-0.1,0,0,0.5,941,0
4,8082,251,11,1180,0.434523809,0.999999998,0.64901664,5,3,3,0,4.5,10,-1,1100,296.8,4200,843300,267450,1992.444444,3942.427997,2896.858016,5600,5600,5600,0,0,0,0,1,0,0,0,0.020000354,0.020195551,0.020009016,0.119560545,0.820234534,0.497729527,0.108407437,0.054237288,0.03220339,0.62745098,0.37254902,0.398467938,0.1,0.9,-0.327010234,-0.8,-0.05,0.142857143,0,0.357142857,3600,0
4,4100,255,12,1428,0.375876578,0.999999999,0.567465321,9,2,0,2,4.659663866,5,-1,201,62.6,20300,843300,338760,2986.950268,3594.627004,3239.008906,2000,5200,3600,1,0,0,0,0,0,0,0,0.040000086,0.040006387,0.040014342,0.040001338,0.839977847,0.48299334,0.125326679,0.054621849,0.014705882,0.787878788,0.212121212,0.318573094,0.033333333,1,-0.304591837,-0.5,-0.071428571,0,0,0.5,928,0
4,5255,44,13,177,0.647727269,0.99999999,0.788461531,4,3,2,1,4.338983051,7,-1,321,81.14285714,100300,843300,528328.5714,2903.505346,3786.027123,3225.173731,1100,1600,1350,0,1,0,0,0,0,0,0,0.466513772,0.028627673,0.028765589,0.028866007,0.44722696,0.726046176,0.376623377,0.079096045,0,1,0,0.39703154,0.1,0.5,0,0,0,1,0.5,0.5,1600,0.5
5,2662,148,11,1225,0.43358396,0.999999999,0.593333333,29,2,4,2,4.894693878,4,-1,1200,299.25,1200,843300,400950,1200,3494.480327,2340.147977,2900,23100,13000,0,0,1,0,0,0,0,0,0.050000201,0.050000047,0.799996123,0.050000149,0.05000348,0.394676488,0.078708863,0.025306122,0.013877551,0.645833333,0.354166667,0.306550761,0.05,0.75,-0.22124183,-0.9,-0.05,0,0,0.5,3000,0
4,2751,329,10,275,0.558823527,0.999999994,0.716049378,5,4,1,0,4.701818182,7,-1,429,161.5714286,17700,843300,184100,2440.623256,3964.263158,3092.152426,1400,1400,1400,0,0,0,1,0,0,0,0,0.02867118,0.028572944,0.028617727,0.028571644,0.885566505,0.572089947,0.157407407,0.014545455,0.003636364,0.8,0.2,0.479166667,0.166666667,1,-0.5,-0.5,-0.5,0,0,0.5,1100,0
5,5255,385,9,329,0.576687115,0.999999994,0.798816563,4,1,1,0,4.656534954,10,-1,445,120.2857143,0,843300,147320,0,4684.589839,2342.304498,26600,26600,26600,0,0,0,1,0,0,0,0,0.459159548,0.020100037,0.140236646,0.020082099,0.36042167,0.462594517,0.115303752,0.027355623,0.024316109,0.529411765,0.470588235,0.447294372,0.136363636,0.8,-0.165203373,-0.3,-0.1,0,0,0.5,750,0
0,8425,180,9,741,0.498622589,0.999999997,0.719696968,8,5,14,0,4.20782726,7,-1,454,199.8571429,12100,843300,292842.8571,2034.129032,5980.957533,3840.632435,1500,4100,2800,0,0,0,0,0,1,0,1,0.029526684,0.437916974,0.028575634,0.175771306,0.328209403,0.494808201,0.087635281,0.041835358,0.025641026,0.62,0.38,0.422196621,0.1,1,-0.358991228,-0.7,-0.05,0.25,0,0.25,1200,0
0,1438,351,11,850,0.584975369,0.999999998,0.740608228,36,4,30,1,4.610588235,9,-1,8300,1064.464444,8300,843300,424588.8889,2367,8300,5300.533532,778,47300,24039,0,0,1,0,0,0,0,0,0.022502607,0.245958097,0.022222684,0.687093314,0.022223297,0.539570517,0.059777521,0.029411765,0.021176471,0.581395349,0.418604651,0.44795671,0.1,1,-0.40026455,-1,-0.05,0,0,0.5,1700,0
0,3123,197,9,549,0.487179486,0.999999997,0.655948551,6,2,1,0,4.790528233,7,-1,1000,281.6666667,0,843300,281071.4286,0,5258.052632,3182.973353,4700,4700,4700,0,0,1,0,0,0,0,0,0.028973634,0.02876505,0.028578285,0.028647718,0.885035313,0.543123471,0.11849174,0.049180328,0.021857923,0.692307692,0.307692308,0.354479718,0.15,1,-0.193452381,-0.8,-0.071428571,0.642857143,0.214285714,0.142857143,1500,0.214285714
0,5833,615,8,1232,0.420203735,0.999999999,0.565104166,17,4,11,0,4.715097403,4,4,340,88,68300,690400,498625,3395.454199,4735.653881,4236.250321,1500,3700,2600,0,0,0,0,1,0,0,0,0.050000174,0.050036303,0.050000093,0.799963259,0.050000171,0.446462152,0.097377701,0.030032468,0.021103896,0.587301587,0.412698413,0.349943547,0.0625,1,-0.19751221,-0.5,-0.05,0,0,0.5,1700,0
2,1436,191,9,182,0.608187131,0.99999999,0.75757575,6,2,1,0,4.225274725,4,-1,510,206.5,7900,843300,421625,1372.28481,6329.925926,3628.443013,3500,12200,7850,0,1,0,0,0,0,0,0,0.799999407,0.050000168,0.050000053,0.05000005,0.050000322,0.481666667,0.088888889,0.032967033,0.010989011,0.75,0.25,0.416666667,0.1,0.8,-0.583333333,-1,-0.166666667,0,0,0.5,1900,0
2,5255,145,8,1529,0.357984293,0.999999999,0.579404466,13,2,1,0,4.60824068,6,-1,1100,282,0,843300,308366.6667,0,5298.777778,3325.672875,2200,2300,2250,0,0,0,0,0,1,0,1,0.866663088,0.033334727,0.033334105,0.033334164,0.033333916,0.419165019,0.146316489,0.062786135,0.015042511,0.806722689,0.193277311,0.337618371,0.05,1,-0.199939614,-0.666666667,-0.0125,1,0,0.5,1600,0
0,4806,597,7,100,0.73737373,0.999999982,0.767857129,4,1,0,0,4.63,7,4,1200,400.8571429,9500,690400,207371.4286,3358.677289,4950,4167.893615,0,0,0,0,1,0,0,0,0,0,0,0.028571671,0.583320939,0.028571562,0.330963359,0.028572469,0.480208333,0.101041667,0.05,0.02,0.714285714,0.285714286,0.32,0.25,0.5,-0.395833333,-0.5,-0.291666667,0.75,0.375,0.25,2200,0.375
4,4443,125,15,395,0.484771572,0.999999995,0.690721646,6,2,2,1,4.015189873,9,-1,1200,440.75,0,843300,251700,0,8243.833333,2873.650914,6000,6000,6000,0,0,0,0,1,0,0,0,0.022229966,0.022225157,0.133908427,0.022223476,0.799412973,0.529916688,0.114119831,0.043037975,0.020253165,0.68,0.32,0.371746881,0.1,0.6,-0.20625,-0.6,-0.125,1,-0.6,0.5,2000,0.6
2,8475,448,6,275,0.660447759,0.999999994,0.7797619,11,7,1,0,4.734545455,5,4,999,286.2,999,843300,320939.8,931.6296296,3265.274632,2093.563081,450,22100,5022.8,0,0,0,1,0,0,0,0,0.639672463,0.240251868,0.040001109,0.040005696,0.040068863,0.314619883,0.196783626,0.025454545,0.014545455,0.636363636,0.363636364,0.657142857,0.5,1,-0.215277778,-0.3,-0.155555556,0,0,0.5,955,0
5,6494,335,10,795,0.445033112,0.999999998,0.590336133,17,15,1,0,4.774842767,9,-1,781,253.6666667,922,843300,195813.5556,762,6232.48,2481.403167,361,1300,884.7857143,0,0,0,0,1,0,0,0,0.02222278,0.02222282,0.911098281,0.022222511,0.022233608,0.41802399,0.050476641,0.021383648,0.020125786,0.515151515,0.484848485,0.311112172,0.0625,0.6,-0.237847222,-0.5,-0.05,0.55,0.075,0.05,966,0.075
4,4744,100,13,575,0.478873239,0.999999997,0.598901097,4,4,20,0,4.702608696,7,-1,995,334.4285714,1000,843300,409114.2857,997.5,3474.415178,2670.946529,995,4700,2531.666667,0,1,0,0,0,0,0,0,0.028581393,0.028575547,0.028575591,0.028571882,0.885695587,0.420441017,0.1426204,0.04173913,0.010434783,0.8,0.2,0.344818723,0.1,0.7,-0.182638889,-0.25,-0.125,0.4,-0.05,0.1,905,0.05
4,2574,486,10,177,0.664739881,0.999999991,0.789473677,4,4,1,0,5.06779661,8,4,718,226,4800,843300,178725,1979.52381,3257.769188,2556.331134,718,879,798.5,1,0,0,0,0,0,0,0,0.025182964,0.025000581,0.02500311,0.025000119,0.899813226,0.538690476,0.079464286,0.02259887,0.016949153,0.571428571,0.428571429,0.475,0.1,1,-0.3625,-0.6,-0.1875,0.4,0,0.1,1200,0
5,351,99,8,147,0.729166662,0.999999989,0.870967733,3,3,1,0,5.068027211,4,-1,357,88.5,10900,843300,403375,1408.174419,3470.715328,2398.107122,705,1500,1201.666667,0,0,1,0,0,0,0,0,0.050000196,0.050000081,0.799995968,0.050000259,0.050003495,0.465,0,0.013605442,0.034013605,0.285714286,0.714285714,0.5,0.5,0.5,-0.35,-0.6,-0.05,0.5,0.125,0,375,0.125
0,826,75,13,382,0.577586205,0.999999996,0.69230769,36,3,33,1,5.19895288,8,-1,516,143.875,27500,843300,304725,3450.618727,7227.047945,5064.587239,3700,3700,3700,0,0,0,0,0,1,0,1,0.025181081,0.025008704,0.025000379,0.749342742,0.175467095,0.548740511,0.04468599,0.028795812,0.020942408,0.578947368,0.421052632,0.525,0.166666667,1,-0.374652778,-0.7,-0.125,0.066666667,0,0.433333333,1700,0
4,2557,341,10,285,0.605734765,0.999999994,0.7804878,4,3,1,0,4.607017544,9,-1,602,165,0,843300,134522.2222,0,3589.419275,1745.316034,5400,5400,5400,0,0,0,0,0,1,0,1,0.022338852,0.022234792,0.022506546,0.462209108,0.470710702,0.570549242,0.203787879,0.028070175,0.014035088,0.666666667,0.333333333,0.509659091,0.1,1,-0.391666667,-0.5,-0.166666667,0.433333333,-0.166666667,0.066666667,1600,0.166666667
0,2204,548,10,150,0.716216211,0.999999989,0.836956513,2,1,0,2,4.333333333,8,4,436,151.2857143,0,843300,439637.5,0,5340.847572,3666.081893,11800,11800,11800,0,1,0,0,0,0,0,0,0.025026974,0.489787786,0.025002459,0.435174148,0.025008634,0.523593074,0.127272727,0.046666667,0.013333333,0.777777778,0.222222222,0.414285714,0.1,0.6,-0.4,-0.5,-0.3,0.166666667,0,0.333333333,5100,0
3,7539,513,10,916,0.48669623,0.999999998,0.691714835,15,7,1,0,4.413755459,9,4,676,206.8888889,10100,843300,191077.7778,2740.684211,5941.125,3980.438708,54100,95900,64550,0,1,0,0,0,0,0,0,0.395060814,0.022258876,0.022442076,0.022399285,0.537838949,0.408692254,0.055867879,0.044759825,0.017467249,0.719298246,0.280701754,0.2503743,0.033333333,0.8,-0.326339286,-0.8,-0.071428571,0,0,0.5,3900,0
1,5691,162,12,111,0.75675675,0.999999985,0.830769218,2,2,1,4,4.45045045,6,-1,895,289.6666667,2600,843300,263700,1432.5,4586.186916,3220.626683,895,895,895,0,0,1,0,0,0,0,0,0.198517385,0.701394016,0.033334155,0.033420637,0.033333807,0.341991342,0.091883117,0.027027027,0.018018018,0.6,0.4,0.545454545,0.136363636,1,-0.175,-0.3,-0.05,0,0,0.5,775,0
4,5372,526,7,705,0.439198855,0.999999998,0.593824227,12,12,13,0,4.64822695,8,4,3300,608.875,3300,843300,139037.5,1640,3300,2559.586171,3300,4100,3500,0,0,1,0,0,0,0,0,0.025053764,0.025041054,0.025003332,0.02500069,0.899901161,0.464042659,0.132931548,0.031205674,0.007092199,0.814814815,0.185185185,0.355411255,0.166666667,0.6,-0.201666667,-0.333333333,-0.1,0,0,0.5,2800,0
2,2241,443,13,246,0.629166664,0.999999993,0.795918362,4,3,1,0,4.62195122,7,4,3100,693.5,0,843300,334600,0,3788.041616,2569.702872,254,488,371,0,1,0,0,0,0,0,0,0.885635558,0.028621603,0.028572322,0.028572202,0.028598316,0.394967532,0.133549784,0.024390244,0.004065041,0.857142857,0.142857143,0.339393939,0.1,0.5,-0.166666667,-0.166666667,-0.166666667,0.125,0,0.375,581,0
0,4862,63,11,0,0,0,0,0,0,0,1,0,6,-1,426,70.59833333,52700,843300,589350,3434.607531,6840.419852,5154.447474,0,0,0,0,0,0,1,0,0,0,0,0.033333444,0.03334689,0.033403553,0.866582739,0.033333374,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.30625,0.25,4500,0.30625
4,4671,663,9,579,0.468749999,0.999999997,0.628654969,11,1,1,0,4.711571675,7,217,386,310.2857143,10400,617900,205028.5714,2015.337838,3606.396396,2975.641624,1100,1100,1100,0,0,0,0,0,1,0,1,0.028571855,0.028573105,0.60013687,0.028571587,0.314146582,0.408853238,0.096152704,0.039723661,0.017271157,0.696969697,0.303030303,0.343642951,0.1,0.6,-0.28,-0.6,-0.1,0,0,0.5,1400,0
2,5241,695,9,177,0.632768358,0.99999999,0.76237623,3,1,1,0,4.553672316,8,217,382,329.8333333,0,69100,21300,0,3065.593407,1639.650611,0,0,0,0,1,0,0,0,0,0,0,0.292830352,0.398766222,0.025001548,0.258391344,0.025010534,0.5075,0.063333333,0.016949153,0.02259887,0.428571429,0.571428571,0.366666667,0.2,0.5,-0.116666667,-0.166666667,-0.05,0,0,0.5,412,0
3,3965,358,7,1250,0.431472081,0.999999999,0.596231493,20,2,2,12,4.7648,7,-1,430,160.2,0,843300,199700,0,4684.769406,2977.814755,14600,14600,14600,0,0,1,0,0,0,0,0,0.582377994,0.028584493,0.029802769,0.028656873,0.330577871,0.456776196,0.256285313,0.052,0.0072,0.878378378,0.121621622,0.415551782,0.033333333,0.8,-0.186243386,-0.4,-0.071428571,0,0,0.5,5000,0
2,342,204,9,393,0.525773195,0.999999996,0.642570279,3,1,2,1,4.445292621,4,-1,946,292,6800,843300,557725,2683.176471,4600.549481,3528.196125,4100,4100,4100,0,0,1,0,0,0,0,0,0.79999913,0.050000592,0.050000107,0.050000096,0.050000074,0.219684829,0.047695707,0.022900763,0.012722646,0.642857143,0.357142857,0.255892256,0.1,0.8,-0.231666667,-0.5,-0.125,0.3,-0.2,0.2,1700,0.2
0,3977,539,12,339,0.675241155,0.999999995,0.815920394,4,3,0,21,4.280235988,3,4,60,22.66666667,843300,843300,843300,3306.496678,5276.175793,4555.878734,1200,22800,12000,0,0,0,1,0,0,0,0,0.066667014,0.066741407,0.066666851,0.733257886,0.066666842,0.49232967,0.034924451,0.038348083,0.044247788,0.464285714,0.535714286,0.443076923,0.1,1,-0.304384615,-0.6,-0.1,0.2625,0.05,0.2375,1200,0.05
2,7946,700,8,377,0.559681696,0.999999996,0.702222219,4,1,1,0,4.50397878,8,217,444,367.4285714,0,69100,30375,0,4261.804598,2488.155516,0,0,0,0,0,0,1,0,0,0,0,0.645224565,0.279719443,0.025026801,0.025028825,0.025000366,0.430616883,0.125768398,0.039787798,0.00795756,0.833333333,0.166666667,0.241229437,0.033333333,0.6,-0.266666667,-0.4,-0.2,0,0,0.5,2200,0
4,1502,106,10,213,0.62561576,0.999999991,0.815789467,5,4,1,1,4.483568075,6,-1,754,124.8333333,9300,843300,375100,2956.162547,4513.89,3351.536013,1200,3400,2100,0,0,1,0,0,0,0,0,0.033334102,0.033334104,0.033334103,0.033333568,0.866664123,0.422222222,0.038888889,0.014084507,0.009389671,0.6,0.4,0.533333333,0.5,0.6,-0.45,-0.6,-0.3,0.75,-0.25,0.25,3400,0.25
0,7348,49,13,0,0,0,0,0,0,0,1,0,5,-1,1800,359.2,15400,843300,454280,3413.302575,8600,5166.923477,0,0,0,0,0,0,1,0,0,0,0,0.040507372,0.04002605,0.040094453,0.280360041,0.599012084,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0.5,9800,1
3,4089,204,10,396,0.420212765,0.999999996,0.480769229,22,21,17,0,4.994949495,8,-1,754,281.25,9900,843300,232012.5,2476.789178,4596.347334,3239.839534,2800,9900,6966.666667,0,0,1,0,0,0,0,0,0.399870879,0.025003898,0.524934355,0.025089542,0.025101326,0.1246724,0.06472154,0.075757576,0.002525253,0.967741935,0.032258065,0.083989899,0.033333333,0.5,-0.125,-0.125,-0.125,0.066666667,0.033333333,0.433333333,2600,0.033333333
0,6260,562,7,302,0.647887322,0.999999995,0.76373626,4,2,0,11,4.523178808,6,4,97,47.25,0,690400,424016.6667,0,5221.781671,2974.781542,17700,22800,20250,0,1,0,0,0,0,0,0,0.033351165,0.364633023,0.033344052,0.5353303,0.03334146,0.496825397,0.16859127,0.066225166,0.01986755,0.769230769,0.230769231,0.373333333,0.05,1,-0.284821429,-0.6,-0.071428571,0.4,0.2,0.1,733,0.2
5,5309,394,10,1206,0.401853412,0.999999999,0.522580644,15,6,19,0,4.849917081,9,-1,1100,276.6666667,3900,843300,258233.3333,1373.669014,4290.294118,2676.149302,847,45800,15831.33333,0,1,0,0,0,0,0,0,0.022222864,0.022222552,0.577843844,0.355383281,0.02232746,0.371807271,0.083010726,0.029850746,0.015754561,0.654545455,0.345454545,0.382256794,0.0625,0.9,-0.230555556,-0.5,-0.05,0,0,0.5,44700,0
0,6747,108,10,0,0,0,0,0,0,0,2,0,7,-1,850,225.9414286,3100,843300,501042.8571,2012.5,7022.222306,4628.870551,0,0,0,1,0,0,0,0,0,0,0,0.028572135,0.172071373,0.028572298,0.741154974,0.029629219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4600,0
0,1034,681,9,57,0.824561389,0.999999971,0.76470586,4,1,0,0,5.192982456,8,217,2500,694.875,2700,80400,43387.5,2460,4781.925926,3417.631541,0,0,0,0,1,0,0,0,0,0,0,0.02505389,0.721484545,0.025018537,0.20343927,0.025003758,0.608333333,0.45,0.105263158,0,1,0,0.45,0.25,0.8,0,0,0,0.5,0.25,0,2500,0.25
